[200~+-------------------------------+------------+---------------------+------------+-------------+----------------+--------+----------+-------------+-----------------+--------+----------------+--------+------------------+-------+
| Trial name                    | status     | loc                 | dataname   | diffusion   |   dropout_prob |   head | if_gat   | if_linear   |   learning_rate |   nhid |   weight_decay |   iter |   total time (s) |   acc |
|-------------------------------+------------+---------------------+------------+-------------+----------------+--------+----------+-------------+-----------------+--------+----------------+--------+------------------+-------|
| training_function_0ad41_00000 | TERMINATED | 172.16.3.10:3609081 | Cora       | sym         |            0.2 |      8 | True     | False       |           5e-05 |     64 |         1e-05  |      1 |         123.018  | 0.793 |
| training_function_0ad41_00001 | TERMINATED | 172.16.3.10:3609083 | Cora       | randomwalk  |            0.2 |      8 | True     | False       |           5e-05 |     64 |         1e-05  |      1 |          81.8627 | 0.79  |
| training_function_0ad41_00002 | TERMINATED | 172.16.3.10:3615475 | Cora       | sym         |            0.1 |      8 | True     | False       |           5e-05 |     64 |         1e-05  |      1 |          76.5036 | 0.787 |
| training_function_0ad41_00003 | TERMINATED | 172.16.3.10:3619502 | Cora       | randomwalk  |            0.1 |      8 | True     | False       |           5e-05 |     64 |         1e-05  |      1 |         117.191  | 0.794 |
| training_function_0ad41_00004 | TERMINATED | 172.16.3.10:3621956 | Cora       | sym         |            0.5 |      8 | True     | False       |           5e-05 |     64 |         1e-05  |      1 |          80.1852 | 0.788 |
| training_function_0ad41_00005 | TERMINATED | 172.16.3.10:3628081 | Cora       | randomwalk  |            0.5 |      8 | True     | False       |           5e-05 |     64 |         1e-05  |      1 |         126.569  | 0.79  |
| training_function_0ad41_00006 | TERMINATED | 172.16.3.10:3628143 | Cora       | sym         |            0.2 |     16 | True     | False       |           5e-05 |     64 |         1e-05  |      1 |         125.834  | 0.787 |
| training_function_0ad41_00007 | TERMINATED | 172.16.3.10:3637564 | Cora       | randomwalk  |            0.2 |     16 | True     | False       |           5e-05 |     64 |         1e-05  |      1 |         180.775  | 0.78  |
| training_function_0ad41_00008 | TERMINATED | 172.16.3.10:3638121 | Cora       | sym         |            0.1 |     16 | True     | False       |           5e-05 |     64 |         1e-05  |      1 |         127.951  | 0.79  |
| training_function_0ad41_00009 | TERMINATED | 172.16.3.10:3648089 | Cora       | randomwalk  |            0.1 |     16 | True     | False       |           5e-05 |     64 |         1e-05  |      1 |         126.338  | 0.783 |
| training_function_0ad41_00010 | TERMINATED | 172.16.3.10:3651094 | Cora       | sym         |            0.5 |     16 | True     | False       |           5e-05 |     64 |         1e-05  |      1 |         180.844  | 0.795 |
| training_function_0ad41_00011 | TERMINATED | 172.16.3.10:3657716 | Cora       | randomwalk  |            0.5 |     16 | True     | False       |           5e-05 |     64 |         1e-05  |      1 |         128.102  | 0.789 |
| training_function_0ad41_00012 | TERMINATED | 172.16.3.10:3664791 | Cora       | sym         |            0.2 |      8 | True     | False       |           1e-05 |     64 |         1e-05  |      1 |         112.714  | 0.785 |
| training_function_0ad41_00013 | TERMINATED | 172.16.3.10:3667252 | Cora       | randomwalk  |            0.2 |      8 | True     | False       |           1e-05 |     64 |         1e-05  |      1 |          81.8879 | 0.781 |
| training_function_0ad41_00014 | TERMINATED | 172.16.3.10:3674152 | Cora       | sym         |            0.1 |      8 | True     | False       |           1e-05 |     64 |         1e-05  |      1 |          85.6515 | 0.788 |
| training_function_0ad41_00015 | TERMINATED | 172.16.3.10:3674188 | Cora       | randomwalk  |            0.1 |      8 | True     | False       |           1e-05 |     64 |         1e-05  |      1 |         113.644  | 0.785 |
| training_function_0ad41_00016 | TERMINATED | 172.16.3.10:3681289 | Cora       | sym         |            0.5 |      8 | True     | False       |           1e-05 |     64 |         1e-05  |      1 |          80.697  | 0.789 |
| training_function_0ad41_00017 | TERMINATED | 172.16.3.10:3683585 | Cora       | randomwalk  |            0.5 |      8 | True     | False       |           1e-05 |     64 |         1e-05  |      1 |         118.589  | 0.779 |
| training_function_0ad41_00018 | TERMINATED | 172.16.3.10:3687202 | Cora       | sym         |            0.2 |     16 | True     | False       |           1e-05 |     64 |         1e-05  |      1 |         126.563  | 0.796 |
| training_function_0ad41_00019 | TERMINATED | 172.16.3.10:3693175 | Cora       | randomwalk  |            0.2 |     16 | True     | False       |           1e-05 |     64 |         1e-05  |      1 |         198.024  | 0.786 |
| training_function_0ad41_00020 | TERMINATED | 172.16.3.10:3697887 | Cora       | sym         |            0.1 |     16 | True     | False       |           1e-05 |     64 |         1e-05  |      1 |         126.32   | 0.793 |
| training_function_0ad41_00021 | TERMINATED | 172.16.3.10:3707210 | Cora       | randomwalk  |            0.1 |     16 | True     | False       |           1e-05 |     64 |         1e-05  |      1 |         130.202  | 0.796 |
| training_function_0ad41_00022 | TERMINATED | 172.16.3.10:3707309 | Cora       | sym         |            0.5 |     16 | True     | False       |           1e-05 |     64 |         1e-05  |      1 |         184.911  | 0.795 |
| training_function_0ad41_00023 | TERMINATED | 172.16.3.10:3715625 | Cora       | randomwalk  |            0.5 |     16 | True     | False       |           1e-05 |     64 |         1e-05  |      1 |         128.328  | 0.787 |
| training_function_0ad41_00024 | TERMINATED | 172.16.3.10:3721503 | Cora       | sym         |            0.2 |      8 | True     | False       |           1e-06 |     64 |         1e-05  |      1 |          91.4204 | 0.755 |
| training_function_0ad41_00025 | TERMINATED | 172.16.3.10:3726201 | Cora       | randomwalk  |            0.2 |      8 | True     | False       |           1e-06 |     64 |         1e-05  |      1 |          79.6844 | 0.76  |
