Number of trials: 72/72 (72 TERMINATED)
+-------------------------------+------------+---------------------+------------+----------------+--------+----------+-----------------+--------+----------------+--------+------------------+--------+
| Trial name                    | status     | loc                 | dataname   |   dropout_prob |   head | if_mlp   |   learning_rate |   nhid |   weight_decay |   iter |   total time (s) |    acc |
|-------------------------------+------------+---------------------+------------+----------------+--------+----------+-----------------+--------+----------------+--------+------------------+--------|
| training_function_09793_00000 | TERMINATED | 172.16.3.10:2469445 | Cora       |            0.5 |      2 | True     |          0.01   |     32 |         0.01   |      1 |          67.9482 | 0.7756 |
| training_function_09793_00001 | TERMINATED | 172.16.3.10:2469446 | Cora       |            0.1 |      2 | True     |          0.01   |     32 |         0.01   |      1 |          68.31   | 0.7746 |
| training_function_09793_00002 | TERMINATED | 172.16.3.10:2469449 | Cora       |            0.5 |      4 | True     |          0.01   |     32 |         0.01   |      1 |          68.6923 | 0.772  |
| training_function_09793_00003 | TERMINATED | 172.16.3.10:2469451 | Cora       |            0.1 |      4 | True     |          0.01   |     32 |         0.01   |      1 |          68.3951 | 0.7768 |
| training_function_09793_00004 | TERMINATED | 172.16.3.10:2469922 | Cora       |            0.5 |      2 | True     |          0.001  |     32 |         0.01   |      1 |          67.8011 | 0.7796 |
| training_function_09793_00005 | TERMINATED | 172.16.3.10:2469924 | Cora       |            0.1 |      2 | True     |          0.001  |     32 |         0.01   |      1 |          67.7464 | 0.7498 |
| training_function_09793_00006 | TERMINATED | 172.16.3.10:2469926 | Cora       |            0.5 |      4 | True     |          0.001  |     32 |         0.01   |      1 |          67.8277 | 0.769  |
| training_function_09793_00007 | TERMINATED | 172.16.3.10:2470014 | Cora       |            0.1 |      4 | True     |          0.001  |     32 |         0.01   |      1 |          68.5363 | 0.7422 |
| training_function_09793_00008 | TERMINATED | 172.16.3.10:2470370 | Cora       |            0.5 |      2 | True     |          0.0001 |     32 |         0.01   |      1 |          68.2353 | 0.6826 |
| training_function_09793_00009 | TERMINATED | 172.16.3.10:2470372 | Cora       |            0.1 |      2 | True     |          0.0001 |     32 |         0.01   |      1 |          67.9884 | 0.6968 |
| training_function_09793_00010 | TERMINATED | 172.16.3.10:2470374 | Cora       |            0.5 |      4 | True     |          0.0001 |     32 |         0.01   |      1 |          67.8113 | 0.6436 |
| training_function_09793_00011 | TERMINATED | 172.16.3.10:2470462 | Cora       |            0.1 |      4 | True     |          0.0001 |     32 |         0.01   |      1 |          68.3703 | 0.672  |
| training_function_09793_00012 | TERMINATED | 172.16.3.10:2470783 | Cora       |            0.5 |      2 | True     |          0.01   |     64 |         0.01   |      1 |          68.8901 | 0.7684 |
| training_function_09793_00013 | TERMINATED | 172.16.3.10:2470785 | Cora       |            0.1 |      2 | True     |          0.01   |     64 |         0.01   |      1 |          69.5022 | 0.7578 |
| training_function_09793_00014 | TERMINATED | 172.16.3.10:2470787 | Cora       |            0.5 |      4 | True     |          0.01   |     64 |         0.01   |      1 |          68.1229 | 0.771  |
| training_function_09793_00015 | TERMINATED | 172.16.3.10:2470789 | Cora       |            0.1 |      4 | True     |          0.01   |     64 |         0.01   |      1 |          67.9013 | 0.7748 |
| training_function_09793_00016 | TERMINATED | 172.16.3.10:2471223 | Cora       |            0.5 |      2 | True     |          0.001  |     64 |         0.01   |      1 |          68.6565 | 0.7778 |
| training_function_09793_00017 | TERMINATED | 172.16.3.10:2471255 | Cora       |            0.1 |      2 | True     |          0.001  |     64 |         0.01   |      1 |          69.0865 | 0.7618 |
| training_function_09793_00018 | TERMINATED | 172.16.3.10:2471258 | Cora       |            0.5 |      4 | True     |          0.001  |     64 |         0.01   |      1 |          67.9562 | 0.7762 |
| training_function_09793_00019 | TERMINATED | 172.16.3.10:2471331 | Cora       |            0.1 |      4 | True     |          0.001  |     64 |         0.01   |      1 |          69.2192 | 0.7612 |
| training_function_09793_00020 | TERMINATED | 172.16.3.10:2471686 | Cora       |            0.5 |      2 | True     |          0.0001 |     64 |         0.01   |      1 |          68.5908 | 0.6856 |
| training_function_09793_00021 | TERMINATED | 172.16.3.10:2471688 | Cora       |            0.1 |      2 | True     |          0.0001 |     64 |         0.01   |      1 |          67.8822 | 0.6926 |
| training_function_09793_00022 | TERMINATED | 172.16.3.10:2471750 | Cora       |            0.5 |      4 | True     |          0.0001 |     64 |         0.01   |      1 |          68.3156 | 0.7246 |
| training_function_09793_00023 | TERMINATED | 172.16.3.10:2471752 | Cora       |            0.1 |      4 | True     |          0.0001 |     64 |         0.01   |      1 |          68.894  | 0.7318 |
| training_function_09793_00024 | TERMINATED | 172.16.3.10:2472165 | Cora       |            0.5 |      2 | True     |          0.01   |     32 |         0.001  |      1 |          67.4891 | 0.7694 |
| training_function_09793_00025 | TERMINATED | 172.16.3.10:2472190 | Cora       |            0.1 |      2 | True     |          0.01   |     32 |         0.001  |      1 |          67.9844 | 0.7642 |
| training_function_09793_00026 | TERMINATED | 172.16.3.10:2472243 | Cora       |            0.5 |      4 | True     |          0.01   |     32 |         0.001  |      1 |          67.7106 | 0.7738 |
| training_function_09793_00027 | TERMINATED | 172.16.3.10:2472244 | Cora       |            0.1 |      4 | True     |          0.01   |     32 |         0.001  |      1 |          67.8576 | 0.7714 |
| training_function_09793_00028 | TERMINATED | 172.16.3.10:2472630 | Cora       |            0.5 |      2 | True     |          0.001  |     32 |         0.001  |      1 |          67.6362 | 0.7724 |
| training_function_09793_00029 | TERMINATED | 172.16.3.10:2472672 | Cora       |            0.1 |      2 | True     |          0.001  |     32 |         0.001  |      1 |          68.1773 | 0.7552 |
| training_function_09793_00030 | TERMINATED | 172.16.3.10:2472709 | Cora       |            0.5 |      4 | True     |          0.001  |     32 |         0.001  |      1 |          67.8216 | 0.7604 |
| training_function_09793_00031 | TERMINATED | 172.16.3.10:2472711 | Cora       |            0.1 |      4 | True     |          0.001  |     32 |         0.001  |      1 |          68.2076 | 0.7468 |
| training_function_09793_00032 | TERMINATED | 172.16.3.10:2473109 | Cora       |            0.5 |      2 | True     |          0.0001 |     32 |         0.001  |      1 |          67.6079 | 0.685  |
| training_function_09793_00033 | TERMINATED | 172.16.3.10:2473134 | Cora       |            0.1 |      2 | True     |          0.0001 |     32 |         0.001  |      1 |          67.8074 | 0.6992 |
| training_function_09793_00034 | TERMINATED | 172.16.3.10:2473176 | Cora       |            0.5 |      4 | True     |          0.0001 |     32 |         0.001  |      1 |          68.2612 | 0.6426 |
| training_function_09793_00035 | TERMINATED | 172.16.3.10:2473210 | Cora       |            0.1 |      4 | True     |          0.0001 |     32 |         0.001  |      1 |          68.5062 | 0.6746 |
| training_function_09793_00036 | TERMINATED | 172.16.3.10:2473557 | Cora       |            0.5 |      2 | True     |          0.01   |     64 |         0.001  |      1 |          68.197  | 0.7666 |
| training_function_09793_00037 | TERMINATED | 172.16.3.10:2473581 | Cora       |            0.1 |      2 | True     |          0.01   |     64 |         0.001  |      1 |          67.8139 | 0.7596 |
| training_function_09793_00038 | TERMINATED | 172.16.3.10:2473626 | Cora       |            0.5 |      4 | True     |          0.01   |     64 |         0.001  |      1 |          68.2781 | 0.7728 |
| training_function_09793_00039 | TERMINATED | 172.16.3.10:2473671 | Cora       |            0.1 |      4 | True     |          0.01   |     64 |         0.001  |      1 |          68.8344 | 0.7676 |
| training_function_09793_00040 | TERMINATED | 172.16.3.10:2474012 | Cora       |            0.5 |      2 | True     |          0.001  |     64 |         0.001  |      1 |          68.869  | 0.7792 |
| training_function_09793_00041 | TERMINATED | 172.16.3.10:2474014 | Cora       |            0.1 |      2 | True     |          0.001  |     64 |         0.001  |      1 |          68.5441 | 0.7548 |
